"ID","STATUS","NAME"
259,1,"Callaway County"
260,1,"Calloway County"
261,1,"Calumet County"
262,0,"Calvert County"
263,1,"Camas County"
264,1,"Cambria County"
265,0,"Camden County"
266,1,"Cameron County"
267,1,"Cameron Parish"
268,1,"Camp County"
269,1,"Campbell County"
270,1,"Canadian County"
271,0,"CanÃ³vanas"
272,1,"Candler County"
273,1,"Cannon County"
274,1,"Canyon County"
275,1,"Cape Girardeau County"
276,1,"Cape May County"
277,0,"Carbon County"
278,1,"Caribou County"
279,1,"Carlisle County"
280,1,"Carlton County"
281,0,"Carolina"
282,0,"Caroline County"
283,1,"Carroll County"
284,1,"Carson City"
285,1,"Carson County"
286,0,"Carter County"
287,1,"Carteret County"
288,0,"Carver County"
289,1,"Cascade County"
290,1,"Casey County"
291,1,"Cass County"
292,1,"Cassia County"
293,0,"Castro County"
294,1,"Caswell County"
295,0,"CataÃ±o"
296,1,"Catahoula Parish"
297,1,"Catawba County"
298,1,"Catoosa County"
299,0,"Catron County"
300,0,"Cattaraugus County"
301,1,"Cavalier County"
302,1,"Cayuga County"
303,0,"Cecil County"
304,0,"Cedar County"
305,1,"Centre County"
306,1,"Cerro Gordo County"
307,1,"Chaffee County"
308,0,"Chambers County"
309,1,"Champaign County"
310,0,"Chariton County"
311,1,"Charles City"
312,1,"Charles City County"
313,0,"Charles County"
314,1,"Charles Mix County"
315,1,"Charleston County"
316,1,"Charlevoix County"
317,1,"Charlotte County"
318,1,"Charlottesville City"
319,1,"Charlton County"
320,1,"Chase County"
321,1,"Chatham County"
322,1,"Chattahoochee County"
323,1,"Chattooga County"
324,1,"Chautauqua County"
325,1,"Chaves County"
326,1,"Cheatham County"
327,1,"Cheboygan County"
328,0,"Chelan County"
329,1,"Chemung County"
330,1,"Chenango County"
331,1,"Cherokee County"
332,0,"Cherry County"
333,0,"Chesapeake City"
334,1,"Cheshire County"
335,0,"Chester County"
336,1,"Chesterfield County"
337,0,"Cheyenne County"
338,1,"Chickasaw County"
339,1,"Chicot County"
340,0,"Childress County"
341,1,"Chilton County"
342,1,"Chippewa County"
343,0,"Chisago County"
344,1,"Chittenden County"
345,1,"Choctaw County"
346,1,"Chouteau County"
347,1,"Chowan County"
348,0,"Christian County"
349,1,"Churchill County"
350,1,"Cibola County"
